100  
49  	433  	3541  
28  	404  	3974  
48  	106  	2114  
11  	592  	2802  
50  	399  	3366  
96  	901  	1831  
18  	1119 	 5005  
84  	943  	2614  
64  	559  	1472  
97  	603  	4883  
28  	569  	5301  
78  	732  	3113  
95  	123  	2048  
25  	287  	3546  
76  	1044 	 1538  
69  	569  	4906  
61  	186  	3012  
63  	327  	2577  
28  	941  	4617  
41  	38  	1493  
96  	617 	 1577  
14  	596 	 5274  
19  	496 	 5384  
63  	311 	 2804  
65  	1023	  3469  
36  	4  	2843  
86  	782	  4494  
7  	1020  	3881  
28  	726  	1859  
56  	388  	5576  
52  	566  	1953  
46  	864  	3417  
4  	111  	2477  
90 	 145 	 5207  
92 	 1092	  2266  
20 	 463 	 3494  
47 	 141 	 2580  
12 	 687 	 3031  
37 	 407 	 5088  
41 	 1086	  1599  
6  	635  	5218  
30 	 217 	 3842  
92  	782  	3198  
27  	884  	5177  
2  	695  	3175  
59 	 1174	  4515  
30 	 926 	 2638  
91 	 1173	  2516  
64 	 219 	 4476  
23 	 754 	 5185  
52 	 322 	 3238  
62 	 1112	  4016  
71 	 466 	 4384  
17 	 159 	 5011  
43 	 297 	 2109  
41 	 263 	 5648  
18 	 766 	 4515  
23 	 1030	  5419  
11  	41  	4482  
59  	119 	 5373  
46  	751 	 1976  
24  	1143	  5391  
48  	72  	2449  
85  	189 	 3435  
92  	875 	 4052  
80 	909 	 5186  
17 	 993  	2376  
62 	 489  	3394  
25 	 773  	1528  
91 	 567  	4428  
19 	 470  	3413  
52 	 723  	3880  
41 	 1015  	5679  
29 	 1045  	3488  
37 	 979  	3477  
54	  426 	 5316  
59	  721 	 2630  
59	  695 	 3430  
82 	 34  	1255  
57 	 946 	 2882  
14 	 13  	5355  
2  	477  	1625  
22 	 210 	 3932  
15 	 1132	  3135  
37 	 280 	 4963  
18 	 1086	  2377  
72 	 569 	 5012  
49 	 249 	 2818  
4  	415  	5254  
92 	 1006 	 2309  
85 	 968  	3698  
56 	 786  	5375  
52 	 1018 	 2633  
7 	 353  	4858  
24  	530  	3665  
96  	237  	5382  
22  	814  	4054  
87  	394  	4453  
27  	1172 	 3935  
20  	30  	1823  
